date,precipitation,sub,event,pre_impact,impact
2019/6/22,2,72.3949585,0,0,0
2019/6/23,3.5,-1.823638916,0,0,0
2019/6/24,4,-31.1546936,0,0,0
2019/6/25,0,8.003890991,0,0,0
2019/6/26,0,19.63563538,0,0,0
2019/6/27,31,-69.71240234,âJ,0,0
2019/6/28,2,-26.36039734,0,0,0
2019/6/29,2.5,73.48529053,0,0,0
2019/6/30,14.5,-99.80029297,âJ,0,0
2019/7/1,27,-9.813079834,0,0,0
2019/7/2,3,28.92126465,0,0,0
2019/7/3,3,-2.936836243,âJ,-0.5,-2
2019/7/4,32.5,-10.93054962,âJ,-0.5,-2
2019/7/5,12,-56.70307922,âJ,0,0
2019/7/6,10,-26.91842651,âJ,0,0
2019/7/7,5,-44.78952026,0,0,0
2019/7/8,0,67.76481628,0,0,0
2019/7/9,5,-14.42747498,0,0,0
2019/7/10,0,-8.036636353,0,0,0
2019/7/11,15,-62.22312927,âJ,0,0
2019/7/12,6,19.629776,0,0,0
2019/7/13,18.5,149.9932861,âJ,0,0
2019/7/14,20.5,74.03936768,âJ,0,0
2019/7/15,3,-32.49227905,0,0,0
2019/7/16,23.5,-172.8822327,âJ,0,0
2019/7/17,0.5,-31.50704956,0,0,0
2019/7/18,39,-45.46798706,0,0,0
2019/7/19,19,-100.7162018,âJ,-0.5,-2
2019/7/20,0,35.36416626,0,0,0
2019/7/21,5.5,25.94210815,0,0,0
2019/7/22,15,-52.49438477,0,0,0
2019/7/23,0.5,-68.28590393,0,0,0
2019/7/24,2,-64.31842041,0,0,0
2019/7/25,0,-88.66394043,0,0,0
2019/7/26,23.5,-102.8023376,âJ,0,0
2019/7/27,36.5,-226.1457825,âJ,0,0
2019/7/28,0,-44.09472656,0,0,0
2019/7/29,0,-131.4314575,0,0,0
2019/7/30,8,-113.9966431,0,0,0
2019/7/31,0,-98.34841919,0,0,0
2019/8/1,0,-158.9139709,0,0,0
2019/8/2,0,-82.63037109,0,0,0
2019/8/3,0,-45.86199951,0,0,0
2019/8/4,0,-116.6691284,0,0,0
2019/8/5,0,-27.33703613,0,0,0
2019/8/6,0.5,-114.6031799,0,0,0
2019/8/7,0,-78.91174316,0,0,0
2019/8/8,0,-71.13226318,0,0,0
2019/8/9,0,-46.32427979,0,0,0
2019/8/10,0,-14.3684082,0,0,0
2019/8/11,0,43.29077148,0,0,0
2019/8/12,3,-40.6975708,0,0,0
2019/8/13,0,-129.9902344,Ç®ñ~,0,0
2019/8/14,35,-55.72146606,"Ç®ñ~,âJ",-0.5,-2
2019/8/15,69.5,-215.382019,"Ç®ñ~,ë‰ïó",-1,-3
2019/8/16,17.5,-25.49710083,âJ,0,0
2019/8/17,0,83.34494019,0,0,0
2019/8/18,0,-129.7363892,0,0,0
2019/8/19,7.5,-85.09054565,0,0,0
2019/8/20,1,6.225341797,0,0,0
2019/8/21,4.5,-133.4823914,0,0,0
2019/8/22,7.5,-73.31689453,0,0,0
2019/8/23,36.5,-162.3246155,âJ,0,0
2019/8/24,2,42.68151855,0,0,0
2019/8/25,0,-61.02282715,0,0,0
2019/8/26,0,-159,0,0,0
2019/8/27,6.5,-25.71191406,âJ,-0.5,-2
2019/8/28,7.5,7.020431519,âJ,-0.5,-2
2019/8/29,0,-83.12545776,0,0,0
2019/8/30,14,-69.47869873,âJ,-0.5,-2
2019/8/31,0,-18.74447632,0,0,0
2019/9/1,7,4.479309082,0,0,0
2019/9/2,0,36.8208313,0,0,0
2019/9/3,0,21.723526,0,0,0
2019/9/4,21,-2.395294189,âJ,0,0
2019/9/5,46,-78.72557068,âJ,0,0
2019/9/6,22,-33.97392273,âJ,0,0
2019/9/7,2.5,-48.9083252,0,0,0
2019/9/8,4,0.948455811,0,0,0
2019/9/9,0,24.13894653,0,0,0
2019/9/10,0,42.27232361,0,0,0
2019/9/11,16,39.07453918,âJ,0,0
2019/9/12,0,-33.04553223,0,0,0
2019/9/13,0,-82.0609436,0,0,0
2019/9/14,0,828.7331848,éOòAãx,1,3
2019/9/15,0,-37.59979248,éOòAãx,1,3
2019/9/16,0,-98.13388062,éOòAãx,0.5,0.5
2019/9/17,0,-154.1098633,0,0,0
2019/9/18,13.5,-3.62361145,âJ,0,0
2019/9/19,0,-119.2524414,0,0,0
2019/9/20,1.5,-95.53268433,0,0,0
2019/9/21,3,1.70880127,0,0,0
2019/9/22,11,99.26382446,0,0,0
2019/9/23,2,46.08172607,0,0,0
2019/9/24,0,-41.53570557,0,0,0
2019/9/25,0,-41.07099915,0,0,0
2019/9/26,0.5,-40.82595825,0,0,0
2019/9/27,0.5,-49.81655884,0,0,0
2019/9/28,0,35.24874878,0,0,0
2019/9/29,2,-78.39807129,0,0,0
2019/9/30,0,-18.68162537,0,0,0
2019/10/1,2.5,10.02767944,0,0,0
2019/10/2,0,-76.94659424,0,0,0
2019/10/3,10,-43.41072083,0,0,0
2019/10/4,9.5,-49.724823,0,0,0
2019/10/5,0,-23.30648804,0,0,0
2019/10/6,0,1.5652771,0,0,0
2019/10/7,3,-18.69244385,0,0,0
2019/10/8,2.5,-12.1743927,0,0,0
2019/10/9,0,33.84707642,0,0,0
2019/10/10,0,-23.89477539,0,0,0
2019/10/11,18,-120.552002,âJ,0,0
2019/10/12,234.5,-64.77233124,ë‰ïó,-1,-3
2019/10/13,0,-25.03347778,0,0,0
2019/10/14,1,5.204147339,0,0,0
2019/10/15,0,-22.99398804,0,0,0
2019/10/16,0,27.20625305,0,0,0
2019/10/17,6.5,-39.00802612,0,0,0
2019/10/18,90,5.11730957,âJ,-0.5,-2
2019/10/19,34.5,34.03164673,âJ,0,0
2019/10/20,0,64.26055908,0,0,0
2019/10/21,55,46.52053833,âJ,0,0
2019/10/22,15,-6.583587646,âJ,0,0
2019/10/23,0,-64.82067871,0,0,0
2019/10/24,5.5,-61.9894104,0,0,0
2019/10/25,96,-46.54519653,âJ,0,0
2019/10/26,0,30.60647583,0,0,0
2019/10/27,0,-11.48568726,0,0,0
2019/10/28,0,21.31591797,0,0,0
2019/10/29,20.5,-47.76068115,âJ,0,0
2019/10/30,0,88.28370667,0,0,0
2019/10/31,0,-28.69638062,0,0,0
2019/11/1,0,-101.0107117,0,0,0
2019/11/2,0,-123.9204712,éOòAãx,1,3
2019/11/3,0,-171.6890259,éOòAãx,1,3
2019/11/4,0,-191.9960327,éOòAãx,0.5,0.5
2019/11/5,0,-73.47375488,0,0,0
2019/11/6,0,-18.3651123,0,0,0
2019/11/7,0,-77.57891846,0,0,0
2019/11/8,0,-60.32073975,0,0,0
2019/11/9,0,17.45596313,0,0,0
2019/11/10,0,-63.08679199,0,0,0
2019/11/11,0,10.81417847,0,0,0
2019/11/12,0,-0.383377075,0,0,0
2019/11/13,0,44.53330994,0,0,0
2019/11/14,0.5,-75.77583313,0,0,0
2019/11/15,0,20.20452881,0,0,0
2019/11/16,0,45.77578735,0,0,0
2019/11/17,0,13.10198975,0,0,0
2019/11/18,7,-14.04733276,0,0,0
2019/11/19,0.5,-37.63137817,0,0,0
2019/11/20,0,112.807785,0,0,0
2019/11/21,0,-55.7071991,åí ãKêß,0,-2
2019/11/22,3,-140.7537537,åí ãKêß,0,-2
2019/11/23,0,-161.4243774,åí ãKêß,0,-2
2019/11/24,0.5,115.1646729,0,0,0
2019/11/25,0,-48.47436523,0,0,0
2019/11/26,9,55.85241699,0,0,0
2019/11/27,1,15.14382935,0,0,0
2019/11/28,0,-22.73780823,0,0,0
2019/11/29,0,-54.33068848,0,0,0
2019/11/30,0,93.80477905,0,0,0
2019/12/1,0,-7.254180908,0,0,0
2019/12/2,19.5,-31.69267273,âJ,-0.5,-2
2019/12/3,0,33.80279541,0,0,0
2019/12/4,0,13.94398499,0,0,0
2019/12/5,0,-15.73580933,0,0,0
2019/12/6,0,-37.97377014,0,0,0
2019/12/7,0,45.51342773,0,0,0
2019/12/8,0,-2.478027344,0,0,0
2019/12/9,0,31.22093201,0,0,0
2019/12/10,0,-52.12976074,0,0,0
2019/12/11,0,19.93907166,0,0,0
2019/12/12,0,-20.62141418,0,0,0
2019/12/13,0,-49.81311035,0,0,0
2019/12/14,0,54.85549927,0,0,0
2019/12/15,0,-5.057769775,0,0,0
2019/12/16,0,-5.144989014,0,0,0
2019/12/17,4,15.15893555,0,0,0
2019/12/18,0,68.51087952,0,0,0
2019/12/19,0,18.38696289,0,0,0
2019/12/20,0,-39.24441528,0,0,0
2019/12/21,0,26.18588257,0,0,0
2019/12/22,25,-19.52474976,âJ,0,0
2019/12/23,0,-76.52975464,0,0,0
2019/12/24,0,19.3143158,0,0,0
2019/12/25,0,107.1434326,ÉNÉäÉXÉ}ÉX,0,1
2019/12/26,3,14.04359436,0,0,0
2019/12/27,6,82.5350647,0,0,0
2019/12/28,0,145.3765869,0,0,0
2019/12/29,0,80.00894165,0,0,0
2019/12/30,8.5,-75.60992432,0,0,0
2019/12/31,0.5,-13.59341431,ëÂäAì˙,0,0
2020/1/1,0,359.821167,å≥ì˙,0,3
2020/1/2,0,51.93701172,0,0,0
2020/1/3,0,-108.3143311,0,0,0
2020/1/4,0,-138.7654419,0,0,0
2020/1/5,0,-56.46044922,0,0,0
2020/1/6,0,8.893096924,0,0,0
2020/1/7,0.5,-61.79760742,0,0,0
2020/1/8,19,28.15071106,âJ,0,0
2020/1/9,0,8.96975708,0,0,0
2020/1/10,0,-13.24752808,0,0,0
2020/1/11,0,-109.7941284,éOòAãx,1,3
2020/1/12,0,-132.3947144,éOòAãx,1,3
2020/1/13,0,-41.51251221,éOòAãx,0.5,0.5
2020/1/14,4.5,33.50741577,0,0,0
2020/1/15,1,48.37286377,0,0,0
2020/1/16,0,44.01815796,0,0,0
2020/1/17,10.5,-22.20916748,âJ,0,0
2020/1/18,2,144.4963684,0,0,0
2020/1/19,0,113.9554138,0,0,0
2020/1/20,0,32.54852295,0,0,0
2020/1/21,0,90.60137939,0,0,0
2020/1/22,0,155.8874969,0,0,0
2020/1/23,16,-62.65115356,âJ,0,0
2020/1/24,0,47.97692871,0,0,0
2020/1/25,0,187.0525818,0,0,0
2020/1/26,9.5,42.62145996,0,0,0
2020/1/27,12,-43.48916626,0,0,0
2020/1/28,42.5,1.516845703,âJ,0,0
2020/1/29,0,114.1946716,0,0,0
2020/1/30,0,15.97625732,0,0,0
2020/1/31,0,-56.99835205,0,0,0
2020/2/1,0,149.7246094,0,0,0
2020/2/2,0,98.40344238,0,0,0
2020/2/3,0,-66.89297485,0,0,0
2020/2/4,0,120.8993073,0,0,0
2020/2/5,0,41.82827759,0,0,0
2020/2/6,0,-10.59762573,0,0,0
2020/2/7,0,-58.36740112,0,0,0
2020/2/8,0,132.2652283,0,0,0
2020/2/9,0,166.3322449,0,0,0
2020/2/10,0,68.5333252,0,0,0
2020/2/11,0,126.209198,èjì˙,0,1
2020/2/12,1,10.61349487,0,0,0
2020/2/13,7,-17.0630188,0,0,0
2020/2/14,1.5,-91.88336182,0,0,0
2020/2/15,0,96.2199707,0,0,0
2020/2/16,9,-21.38937378,0,0,0
2020/2/17,0,20.9927063,0,0,0
2020/2/18,0,33.21102905,0,0,0
2020/2/19,0,18.86759949,0,0,0
2020/2/20,0,-14.91439819,0,0,0
2020/2/21,0,-34.390625,0,0,0
2020/2/22,4.5,-72.47296143,éOòAãx,1,3
2020/2/23,0,-45.85272217,éOòAãx,1,3
2020/2/24,0,-91.85223389,éOòAãx,0.5,0.5
2020/2/25,0.5,-118.0534668,0,0,0
2020/2/26,3,-28.23468018,0,0,0
2020/2/27,0,-6.392700195,0,0,0
2020/2/28,0,-136.3861237,0,0,0
2020/2/29,23,12.78529358,âJ,-0.5,-2
2020/3/1,0,-91.97616577,0,0,0
2020/3/2,0.5,-24.59919739,0,0,0
2020/3/3,0,13.03871155,0,0,0
2020/3/4,17,27.27142334,âJ,0,0
2020/3/5,0,30.74562073,0,0,0
2020/3/6,0.5,-42.99926758,0,0,0
2020/3/7,0,8.011016846,0,0,0
2020/3/8,61,38.5838623,âJ,-0.5,-2
2020/3/9,0,53.07785034,0,0,0
2020/3/10,17.5,5.385620117,âJ,0,0
2020/3/11,0,129.4274673,0,0,0
2020/3/12,0,15.83488464,0,0,0
2020/3/13,0,-20.9437561,0,0,0
2020/3/14,11,-20.67050171,âJ,0,0
2020/3/15,0,3.74206543,0,0,0
2020/3/16,0,55.99685669,0,0,0
2020/3/17,0,64.00158691,0,0,0
2020/3/18,0,89.91168213,0,0,0
2020/3/19,0,89.6907196,0,0,0
2020/3/20,0,-15.71560669,éOòAãx,1,3
2020/3/21,0,-60.63372803,éOòAãx,1,3
2020/3/22,0,-118.2814941,éOòAãx,0.5,0.5
2020/3/23,0,-61.3747406,0,0,0
2020/3/24,0,41.44967651,0,0,0
2020/3/25,0,51.52111816,0,0,0
2020/3/26,0,57.5178833,0,0,0
2020/3/27,2,4.033050537,0,0,0
2020/3/28,12,64.46652222,âJ,-0.5,-2
2020/3/29,23.5,40.56469727,âJ,-0.5,-2
2020/3/30,10.5,0,0,0,0
2020/3/31,9,0,0,0,0
2020/4/1,32.5,0,0,0,0
